dataset,algo,k,silhouette,calinski_harabasz,davies_bouldin,inertia,seconds_mean,seconds_std,repeats,silhouette_norm,calinski_harabasz_norm,davies_bouldin_norm,composite
full,kmeans,2,0.16089666836767821,204.07038466900366,2.176396425733313,1062.2290168759507,0.1813338201493025,0.07641996984512982,5,0.37355933374425027,1.0,0.23283816900117482,0.535465834248475
full,kmeans,3,0.1768813115316422,196.7714263784018,1.9980295022650416,918.1657658077806,0.1358422800898552,0.0058639556111668495,5,0.5672266964476504,0.9419136794852891,0.43447738418636495,0.6478725867064349
full,kmeans,4,0.17479942674194268,188.40843224984283,1.7298664511004873,817.4839307220237,0.1440862400457263,0.006554318913131321,5,0.5420029155638588,0.8753595853154943,0.737628810062168,0.7183304369805071
full,kmeans,5,0.15815171867523,174.15037531830575,1.6892346896296087,754.02307963013,0.16920720003545284,0.014726364034107181,5,0.3403019652664592,0.7618916037394596,0.7835619703996968,0.6285851798018719
full,kmeans,6,0.1810251821825658,165.27574615671818,1.7193118559900065,700.2165530246211,0.18428672021254897,0.019027321508444626,5,0.6174331660019813,0.6912658331287512,0.7495605081219452,0.6860865024175592
full,kmeans,7,0.19174682325494508,154.1290871311526,1.7656163639830122,664.1397171464843,0.18269620006904005,0.030027333913296813,5,0.747334842820222,0.6025588720736542,0.6972144538777181,0.6823693895905315
full,kmeans,8,0.18007303356398885,145.9333678992015,1.7714045576432729,632.0476972658323,0.19229776011779903,0.009901978478984958,5,0.6058970866556997,0.537335979271449,0.6906710499533775,0.6113013719601754
full,kmeans,9,0.18526348203354934,139.71896007231146,1.7717693795715466,603.0126005240014,0.193910859990865,0.013483256980644523,5,0.6687837245391067,0.48788069120566435,0.6902586281552713,0.6156410146333475
full,kmeans,10,0.18663550826507475,134.61927743292682,1.783218126053134,577.1024280111546,0.20363020012155175,0.012878249219095965,5,0.6854069734345495,0.4472965710448439,0.6773161149890781,0.6033398864894904
full,agglo-ward,2,0.19990657287796376,191.76700285751883,1.8866194377868053,,0.020228440035134555,0.0014261011018909247,5,0.8461970553576088,0.9020876471870013,0.5604235939897712,0.7695694321781271
